Date,Close
01/01/2018,1.001
02/01/2018,1.002
03/01/2018,1.003
04/01/2018,1.004
05/01/2018,1.005
06/01/2018,1.006
07/01/2018,1.007
08/01/2018,1.008
09/01/2018,1.009
10/01/2018,1.01
11/01/2018,1.011
12/01/2018,1.012
13/01/2018,1.013
14/01/2018,1.014
15/01/2018,1.015
16/01/2018,1.016
17/01/2018,1.017
18/01/2018,1.018
19/01/2018,1.019
20/01/2018,1.02
21/01/2018,1.021
22/01/2018,1.022
23/01/2018,1.023
24/01/2018,1.024
25/01/2018,1.025
26/01/2018,1.026
27/01/2018,1.027
28/01/2018,1.028
29/01/2018,1.029
30/01/2018,1.03
31/01/2018,1.031
01/02/2018,1.032
02/02/2018,1.033
03/02/2018,1.034
04/02/2018,1.035
05/02/2018,1.036
06/02/2018,1.037
07/02/2018,1.038
08/02/2018,1.039
09/02/2018,1.04
10/02/2018,1.041
11/02/2018,1.042
12/02/2018,1.043
13/02/2018,1.044
14/02/2018,1.045
15/02/2018,1.046
16/02/2018,1.047
17/02/2018,1.048
18/02/2018,1.049
19/02/2018,1.05
20/02/2018,1.051
21/02/2018,1.052
22/02/2018,1.053
23/02/2018,1.054
24/02/2018,1.055
25/02/2018,1.056
26/02/2018,1.057
27/02/2018,1.058
28/02/2018,1.059
01/03/2018,1.06
02/03/2018,1.061
03/03/2018,1.062
04/03/2018,1.063
05/03/2018,1.064
06/03/2018,1.065
07/03/2018,1.066
08/03/2018,1.067
09/03/2018,1.068
10/03/2018,1.069
11/03/2018,1.07
12/03/2018,1.071
13/03/2018,1.072
14/03/2018,1.073
15/03/2018,1.074
16/03/2018,1.075
17/03/2018,1.076
18/03/2018,1.077
19/03/2018,1.078
20/03/2018,1.079
21/03/2018,1.08
22/03/2018,1.081
23/03/2018,1.082
24/03/2018,1.083
25/03/2018,1.084
26/03/2018,1.085
27/03/2018,1.086
28/03/2018,1.087
29/03/2018,1.088
30/03/2018,1.089
31/03/2018,1.09
01/04/2018,1.091
02/04/2018,1.092
03/04/2018,1.093
04/04/2018,1.094
05/04/2018,1.095
06/04/2018,1.096
07/04/2018,1.097
08/04/2018,1.098
09/04/2018,1.099
10/04/2018,1.1
11/04/2018,1.101
12/04/2018,1.102
13/04/2018,1.103
14/04/2018,1.104
15/04/2018,1.105
16/04/2018,1.106
17/04/2018,1.107
18/04/2018,1.108
19/04/2018,1.109
20/04/2018,1.11
21/04/2018,1.111
22/04/2018,1.112
23/04/2018,1.113
24/04/2018,1.114
25/04/2018,1.115
26/04/2018,1.116
27/04/2018,1.117
28/04/2018,1.118
29/04/2018,1.119
30/04/2018,1.12
01/05/2018,1.121
02/05/2018,1.122
03/05/2018,1.123
04/05/2018,1.124
05/05/2018,1.125
06/05/2018,1.126
07/05/2018,1.127
08/05/2018,1.128
09/05/2018,1.129
10/05/2018,1.13
11/05/2018,1.131
12/05/2018,1.132
13/05/2018,1.133
14/05/2018,1.134
15/05/2018,1.135
16/05/2018,1.136
17/05/2018,1.137
18/05/2018,1.138
19/05/2018,1.139
20/05/2018,1.14
21/05/2018,1.141
22/05/2018,1.142
23/05/2018,1.143
24/05/2018,1.144
25/05/2018,1.145
26/05/2018,1.146
27/05/2018,1.147
28/05/2018,1.148
29/05/2018,1.149
30/05/2018,1.15
31/05/2018,1.151
01/06/2018,1.152
02/06/2018,1.153
03/06/2018,1.154
04/06/2018,1.155
05/06/2018,1.156
06/06/2018,1.157
07/06/2018,1.158
08/06/2018,1.159
09/06/2018,1.16
10/06/2018,1.161
11/06/2018,1.162
12/06/2018,1.163
13/06/2018,1.164
14/06/2018,1.165
15/06/2018,1.166
16/06/2018,1.167
17/06/2018,1.168
18/06/2018,1.169
19/06/2018,1.17
20/06/2018,1.171
21/06/2018,1.172
22/06/2018,1.173
23/06/2018,1.174
24/06/2018,1.175
25/06/2018,1.176
26/06/2018,1.177
27/06/2018,1.178
28/06/2018,1.179
29/06/2018,1.18
30/06/2018,1.181
01/07/2018,1.182
02/07/2018,1.183
03/07/2018,1.184
04/07/2018,1.185
05/07/2018,1.186
06/07/2018,1.187
07/07/2018,1.188
08/07/2018,1.189
09/07/2018,1.19
10/07/2018,1.191
11/07/2018,1.192
12/07/2018,1.193
13/07/2018,1.194
14/07/2018,1.195
15/07/2018,1.196
16/07/2018,1.197
17/07/2018,1.198
18/07/2018,1.199
19/07/2018,1.2
20/07/2018,1.201
21/07/2018,1.202
22/07/2018,1.203
23/07/2018,1.204
24/07/2018,1.205
25/07/2018,1.206
26/07/2018,1.207
27/07/2018,1.208
28/07/2018,1.209
29/07/2018,1.21
30/07/2018,1.211
31/07/2018,1.212
01/08/2018,1.213
02/08/2018,1.214
03/08/2018,1.215
04/08/2018,1.216
05/08/2018,1.217
06/08/2018,1.218
07/08/2018,1.219
08/08/2018,1.22
09/08/2018,1.221
10/08/2018,1.222
11/08/2018,1.223
12/08/2018,1.224
13/08/2018,1.225
14/08/2018,1.226
15/08/2018,1.227
16/08/2018,1.228
17/08/2018,1.229
18/08/2018,1.23
19/08/2018,1.231
20/08/2018,1.232
21/08/2018,1.233
22/08/2018,1.234
23/08/2018,1.235
24/08/2018,1.236
25/08/2018,1.237
26/08/2018,1.238
27/08/2018,1.239
28/08/2018,1.24
29/08/2018,1.241
30/08/2018,1.242
31/08/2018,1.243
01/09/2018,1.244
02/09/2018,1.245
03/09/2018,1.246
04/09/2018,1.247
05/09/2018,1.248
06/09/2018,1.249
07/09/2018,1.25
08/09/2018,1.251
09/09/2018,1.252
10/09/2018,1.253
11/09/2018,1.254
12/09/2018,1.255
13/09/2018,1.256
14/09/2018,1.257
15/09/2018,1.258
16/09/2018,1.259
17/09/2018,1.26
18/09/2018,1.261
19/09/2018,1.262
20/09/2018,1.263
21/09/2018,1.264
22/09/2018,1.265
23/09/2018,1.266
24/09/2018,1.267
25/09/2018,1.268
26/09/2018,1.269
27/09/2018,1.27
28/09/2018,1.271
29/09/2018,1.272
30/09/2018,1.273
01/10/2018,1.274
02/10/2018,1.275
03/10/2018,1.276
04/10/2018,1.277
05/10/2018,1.278
06/10/2018,1.279
07/10/2018,1.28
08/10/2018,1.281
09/10/2018,1.282
10/10/2018,1.283
11/10/2018,1.284
12/10/2018,1.285
13/10/2018,1.286
14/10/2018,1.287
15/10/2018,1.288
16/10/2018,1.289
17/10/2018,1.29
18/10/2018,1.291
19/10/2018,1.292
20/10/2018,1.293
21/10/2018,1.294
22/10/2018,1.295
23/10/2018,1.296
24/10/2018,1.297
25/10/2018,1.298
26/10/2018,1.299
27/10/2018,1.3
28/10/2018,1.301
29/10/2018,1.302
30/10/2018,1.303
31/10/2018,1.304
01/11/2018,1.305
02/11/2018,1.306
03/11/2018,1.307
04/11/2018,1.308
05/11/2018,1.309
06/11/2018,1.31
07/11/2018,1.311
08/11/2018,1.312
09/11/2018,1.313
10/11/2018,1.314
11/11/2018,1.315
12/11/2018,1.316
13/11/2018,1.317
14/11/2018,1.318
15/11/2018,1.319
16/11/2018,1.32
17/11/2018,1.321
18/11/2018,1.322
19/11/2018,1.323
20/11/2018,1.324
21/11/2018,1.325
22/11/2018,1.326
23/11/2018,1.327
24/11/2018,1.328
25/11/2018,1.329
26/11/2018,1.33
27/11/2018,1.331
28/11/2018,1.332
29/11/2018,1.333
30/11/2018,1.334
01/12/2018,1.335
02/12/2018,1.336
03/12/2018,1.337
04/12/2018,1.338
05/12/2018,1.339
06/12/2018,1.34
07/12/2018,1.341
08/12/2018,1.342
09/12/2018,1.343
10/12/2018,1.344
11/12/2018,1.345
12/12/2018,1.346
13/12/2018,1.347
14/12/2018,1.348
15/12/2018,1.349
16/12/2018,1.35
17/12/2018,1.351
18/12/2018,1.352
19/12/2018,1.353
20/12/2018,1.354
21/12/2018,1.355
22/12/2018,1.356
23/12/2018,1.357
24/12/2018,1.358
25/12/2018,1.359
26/12/2018,1.36
27/12/2018,1.361
28/12/2018,1.362
29/12/2018,1.363
30/12/2018,1.364
31/12/2018,1.365
01/01/2019,1.366
02/01/2019,1.367
03/01/2019,1.368
